Name,Place ID,Longitude,Latitude
"Belmont Library, 1038 SE Cesar Estrada Chavez Blvd, Portland, OR 97214, USA",ChIJSf5ILu2glVQRahFQ4if7GP0,45.51536847,-122.6226796
"Gresham Library, 385 NW Miller Ave, Gresham, OR 97030, USA",ChIJzwMvUvOYlVQRtqJazJZ6c1w,45.50028642,-122.4329559
"Gresham Splash Pad, 401 NE 2nd St, Gresham, OR 97030, USA",ChIJSZmmgVuZlVQRi1Vdh3uPEsk,45.49932622,-122.4265192
"Elizabeth Caruthers Park, 3508 S Moody Ave, Portland, OR 97239, USA",ChIJAdFy72cKlVQR2pOgDI7s3ag,45.49699334,-122.6713924
"Creston Pool,  4454 SE Powell Blvd, Portland, OR 97206, USA ",ChIJc702JGWglVQRGRNovmN8YvA,45.49667394,-122.6164073
"Essex Park, 7730 SE Center St, Portland, OR 97206, USA",ChIJ64TkgTiglVQRRbFFisw_GLw,45.49448398,-122.5832895
"Earl Boyles Park, 10740 SE Francis St, Portland, OR 97266, USA ",ChIJOVFWLtKhlVQR7RAj3pNUdIQ,45.49265589,-122.5501537
"Holgate Library, 7905 SE Holgate Blvd, Portland, OR 97206, USA",ChIJGT4XTDmglVQRM7Ft9z4nYhI,45.49056403,-122.5822544
"Raymond City Park, SE 118th Ave & Raymond St, Portland, OR 97266, USA",ChIJGwkQ9tWhlVQRognqv2xbEgk,45.48619305,-122.5427163
"Mt Scott Community Center, 5530 SE 72nd Ave, Portland, OR 97206, USA",ChIJScR97RmglVQRMQQ3UWZ5xqA,45.48272932,-122.589032
"Hillsdale Library, 1525 SW Sunset Blvd, Portland, OR 97239, USA",ChIJybQFpwALlVQRdinuxTL8xZo,45.47989159,-122.6941087
"Woodstock Library, 6008 SE 49th Ave, Portland, OR 97206, USA",ChIJTSqd6AmglVQRHC05-s7PLIk,45.47895224,-122.6121101
"Wilson Pool, 1151 S Vermont St, Portland, OR 97219, USA ",ChIJ3RXxbAELlVQRU2CvQ1pJv74,45.47767625,-122.6907031
"Southwest Community Center, 6820 SW 45th Ave, Portland, OR 97219, USA",ChIJl9LWKJ8LlVQRGRoWBuURZRE,45.47577737,-122.722495
"Sellwood Library, 7860 SE 13th Ave, Portland, OR 97202, USA",ChIJyyJzTcMKlVQR-DyYDYR4GSs,45.46764618,-122.6527749
"Sellwood Riverfront Park, 1221 SE Oaks Park Way, Portland, OR 97202, USA",ChIJIeDfZ94KlVQRQ6u9CacgIy0,45.46679159,-122.6634422
"Sellwood Pool, 7951 SE 7th Ave, Portland, OR 97202, USA ",ChIJ04FOyN0KlVQRQh-YIboSdXo,45.46662094,-122.6593283
"Capitol Hill Library, 10723 SW Capitol Hwy, Portland, OR 97219, USA",ChIJn54JwqEMlVQRBNnlF4Y1_DM,45.44807179,-122.7254174
