Name,Place ID,Latitude,Longitude,County
"Director Park, 815 SW Park Ave, Portland, OR 97205, USA",ChIJSSza0AQKlVQRe3zUTjsBp2E,45.5186830361299,-122.6815128002670,Multnomah
"Midland Library, 805 SE 122nd Ave, Portland, OR 97233, USA",ChIJ_0a3s5GhlVQRJ0zt5un5jVE,45.5167660738747,-122.5384777728510,Multnomah
"East Portland Community Center, 740 SE 106th Ave, Portland, OR 97216, USA",ChIJZb2NfqKhlVQRkZEuZ-fie5g,45.5162160857683,-122.5535082728510,Multnomah
"Colonel Summers Park, Portland, OR 97214, USA ",ChIJkytWerOhlVQRvNC7w6co_PE,45.5155613123982,-122.6467326589030,Multnomah
"Salmon Street Springs, 1000 SW Naito Pkwy, Portland, OR 97204, USA",ChIJudsk_w4KlVQRREr--ABXahs,45.5153727982633,-122.6733056156190,Multnomah
"Belmont Library, 1038 SE Cesar Estrada Chavez Blvd, Portland, OR 97214, USA",ChIJSf5ILu2glVQRahFQ4if7GP0,45.5153684675840,-122.6226796292690,Multnomah
"Gresham Library, 385 NW Miller Ave, Gresham, OR 97030, USA",ChIJzwMvUvOYlVQRtqJazJZ6c1w,45.5002864184441,-122.4329559305220,Multnomah
"Gresham Splash Pad, 401 NE 2nd St, Gresham, OR 97030, USA",ChIJSZmmgVuZlVQRi1Vdh3uPEsk,45.4993262172746,-122.4265191834960,Multnomah
"Elizabeth Caruthers Park, 3508 S Moody Ave, Portland, OR 97239, USA",ChIJAdFy72cKlVQR2pOgDI7s3ag,45.4969933449909,-122.6713924132720,Multnomah
"Creston Pool,  4454 SE Powell Blvd, Portland, OR 97206, USA ",ChIJc702JGWglVQRGRNovmN8YvA,45.4966739383212,-122.6164073055900,Multnomah
"Essex Park, 7730 SE Center St, Portland, OR 97206, USA",ChIJ64TkgTiglVQRRbFFisw_GLw,45.4944839801269,-122.5832895261770,Multnomah
"Earl Boyles Park, 10740 SE Francis St, Portland, OR 97266, USA ",ChIJOVFWLtKhlVQR7RAj3pNUdIQ,45.4926558883666,-122.5501536593580,Multnomah
"Holgate Library, 7905 SE Holgate Blvd, Portland, OR 97206, USA",ChIJGT4XTDmglVQRM7Ft9z4nYhI,45.4905640309055,-122.5822543660200,Multnomah
"Raymond City Park, SE 118th Ave & Raymond St, Portland, OR 97266, USA",ChIJGwkQ9tWhlVQRognqv2xbEgk,45.4861930542743,-122.5427162691540,Multnomah
"Mt Scott Community Center, 5530 SE 72nd Ave, Portland, OR 97206, USA",ChIJScR97RmglVQRMQQ3UWZ5xqA,45.4827293206604,-122.5890320418770,Multnomah
"Hillsdale Library, 1525 SW Sunset Blvd, Portland, OR 97239, USA",ChIJybQFpwALlVQRdinuxTL8xZo,45.4798915922443,-122.6941087305230,Multnomah
"Woodstock Library, 6008 SE 49th Ave, Portland, OR 97206, USA",ChIJTSqd6AmglVQRHC05-s7PLIk,45.4789522432659,-122.6121100516540,Multnomah
"Wilson Pool, 1151 S Vermont St, Portland, OR 97219, USA ",ChIJ3RXxbAELlVQRU2CvQ1pJv74,45.4776762540660,-122.6907030691340,Multnomah
"Southwest Community Center, 6820 SW 45th Ave, Portland, OR 97219, USA",ChIJl9LWKJ8LlVQRGRoWBuURZRE,45.4757773676552,-122.7224950432940,Multnomah
"Sellwood Library, 7860 SE 13th Ave, Portland, OR 97202, USA",ChIJyyJzTcMKlVQR-DyYDYR4GSs,45.4676461773429,-122.6527748537270,Multnomah
